courseId,department,courseName,time,room
26194-01,AI융합학과,C프로그래밍,수1/2/3,090210-20
10614-01,건축학과,구조역학,목2/3/4,090411-0
25848-01,건축학과,서양건축사,화5/6/7,090327-0
25849-01,건축학과,환경행태론,금2/3/4,090411-0
25849-02,건축학과,환경행태론,금6/7/8,090411-0
20278-01,건축학과,한국건축사,수2/3/4,090411-0
10162-01,건축학과,건축설비,수7/8/9,090410-0
19999-01,기계공학과,ME비젼세미나,목3,090320-0
19999-01,기계공학과,ME비젼세미나,목3,090320-0
19999-01,기계공학과,ME비젼세미나,목3,090320-0
19999-01,기계공학과,ME비젼세미나,목3,090320-0
19999-01,기계공학과,ME비젼세미나,목3,090320-0
19999-01,기계공학과,ME비젼세미나,목3,090320-0
19999-01,기계공학과,ME비젼세미나,목3,090320-0
12882-01,기계공학과,일반화학,목7/8/9,090517-0
22437-42,기계공학과,자기계발과미래설계,목2,090524-0
22437-43,기계공학과,자기계발과미래설계,화7,090524-0
22437-44,기계공학과,자기계발과미래설계,수5,090524-0
20000-01,기계공학과,공학그래픽스,화8/9,090519-0
20001-01,기계공학과,공학그래픽스(실),월1/2,090202-0
20001-02,기계공학과,공학그래픽스(실),월3/4,090202-0
25854-01,기계공학과,공학수학Ⅰ,월1/2/수1,090517-0
25854-02,기계공학과,공학수학Ⅰ,월4/5/6,090320-0
25089-23,기계공학과,기업가정신,목8,090219-0
24283-01,기계공학과,기초프로그래밍실습,월8/9/금2/3,090202-0
24283-02,기계공학과,기초프로그래밍실습,화2/3/5/6,090202-0
25853-01,기계공학과,설계및제작실습,목1,090517-0
20201-01,기계공학과,설계및제작실습(실),수6/7,09B108-0
20201-02,기계공학과,설계및제작실습(실),목5/6,09B108-0
12396-01,기계공학과,열역학,수2/3/목2,090320-0/090425-0
12396-02,기계공학과,열역학,화1/2/3,090520-0
15620-02,기계공학과,재료역학,수5/6/7,090520-0
15620-03,기계공학과,재료역학,목5/6/7,090411-0
18400-01,기계공학과,기계공학실험Ⅰ,금1/2/3,090219-0
18400-01,기계공학과,기계공학실험Ⅰ,금1/2/3,090219-0
18400-01,기계공학과,기계공학실험Ⅰ,금1/2/3,090219-0
18400-01,기계공학과,기계공학실험Ⅰ,금1/2/3,090219-0
18400-02,기계공학과,기계공학실험Ⅰ,금4/5/6,090219-0
18400-02,기계공학과,기계공학실험Ⅰ,금4/5/6,090219-0
18400-02,기계공학과,기계공학실험Ⅰ,금4/5/6,090219-0
18400-02,기계공학과,기계공학실험Ⅰ,금4/5/6,090219-0
18400-03,기계공학과,기계공학실험Ⅰ,금7/8/9,090219-0
18400-03,기계공학과,기계공학실험Ⅰ,금7/8/9,090219-0
18400-03,기계공학과,기계공학실험Ⅰ,금7/8/9,090219-0
19839-01,기계공학과,기계설계Ⅰ,월5/6/수5/6,090327-0/090219-0
19839-02,기계공학과,기계설계Ⅰ,수8/9/월8/9,090219-0/090327-0
18406-01,기계공학과,기구학,화1/2/목1,090518-0/090519-0
12402-01,기계공학과,열전달,수2/3/목2,090517-0/090119-0
20251-01,기계공학과,자동제어,화7/월2/3,090119-0/090519-0
18411-01,기계공학과,HVAC,수7/목5/6,090219-0
24654-01,기계공학과,로봇과인공지능,화10/11/12,090327-0
20101-01,기계공학과,소음진동제어,화2/3/목2,090320-0
21683-01,기계공학과,캡스턴디자인프로젝트,금10/11/12/13,090201-B
21683-01,기계공학과,캡스턴디자인프로젝트,금10/11/12/13,090201-B
21683-02,기계공학과,캡스턴디자인프로젝트,금10/11/12/13,09B110-0
21683-02,기계공학과,캡스턴디자인프로젝트,금10/11/12/13,09B110-0
21683-03,기계공학과,캡스턴디자인프로젝트,금10/11/12/13,090201-A
21683-03,기계공학과,캡스턴디자인프로젝트,금10/11/12/13,090201-A
21683-03,기계공학과,캡스턴디자인프로젝트,금10/11/12/13,090201-A
19256-01,멀티미디어공학과,디지털콘텐츠이해,목5/6/금1,090519-0/090425-0
19256-01,멀티미디어공학과,디지털콘텐츠이해,목5/6/금1,090519-0/090425-0
19256-01,멀티미디어공학과,디지털콘텐츠이해,목5/6/금1,090519-0/090425-0
22437-34,멀티미디어공학과,자기계발과미래설계,월8,090420-0
22437-35,멀티미디어공학과,자기계발과미래설계,월9,090420-0
22437-36,멀티미디어공학과,자기계발과미래설계,월2,090516-0
25541-01,멀티미디어공학과,컴퓨터활용및실습,화2/3,090410-0
25574-01,멀티미디어공학과,컴퓨터활용및실습(실),금2/3,090206-0
25574-02,멀티미디어공학과,컴퓨터활용및실습(실),금5/6,090206-0
24807-01,멀티미디어공학과,게임프로그래밍Ⅰ,월2/3/금7/8,090206-0
25089-19,멀티미디어공학과,기업가정신,목7,090420-0
22973-01,멀티미디어공학과,멀티미디어그래픽설계Ⅰ,목8/9,090502-0
23182-01,멀티미디어공학과,멀티미디어그래픽설계Ⅰ(실),금3/4,090502-0
23182-02,멀티미디어공학과,멀티미디어그래픽설계Ⅰ(실),금5/6,090502-0
24658-01,멀티미디어공학과,멀티미디어시스템구조,월5/6/화5,090106-0/090520-0
22974-01,멀티미디어공학과,멀티미디어웹서버기초,화6/7/수5/6,090206-0
